year,count,sex,job,perc
605,22494.60046,UAH,a,0.001413079827306
605,367.0858,UAH,d,0.000023059824503
605,389675.1667,UAH,e,0.024478857413653
605,163184.4696,UAH,b,0.010251023684688
605,7051074.51,UAH,c,0.442938791851004
605,106117.2422,USD,a,0.006666139038511
605,15177.74401,USD,b,0.000953444979949
605,7379485.683,USD,c,0.463569129565826
606,397.26296,EUR,a,0.000025062093821
606,1068.57996,EUR,b,0.000067413411039
606,785233.0342,EUR,c,0.049537928161756
606,22494.60046,UAH,a,0.001419114903650
606,347.3401,UAH,d,0.000021912614693
606,400788.1175,UAH,e,0.025284485123021
606,163363.5588,UAH,b,0.010306102631992
606,7034666.569,UAH,c,0.443795398252710
606,105037.478,USD,a,0.006626490244406
606,15023.30743,USD,b,0.000947774089784
606,7322728.218,USD,c,0.461968318473128
607,395.58745,EUR,a,0.000024796679592
607,1064.0731,EUR,b,0.000066699486354
607,822707.964,EUR,c,0.051569951933363
607,22494.60046,UAH,a,0.001410033104318
607,338.06856,UAH,d,0.000021191212619
607,401339.8092,UAH,e,0.025157255764610
607,162841.8032,UAH,b,0.010207442165724
607,7132899.694,UAH,c,0.447112840070617
607,104510.9118,USD,a,0.006551076364414
607,14945.32862,USD,b,0.000936820733784
607,7289704.953,USD,c,0.456941892484605
608,395.58745,EUR,a,0.000024796679592
608,1064.0731,EUR,b,0.000066699486354
608,822707.964,EUR,c,0.051569951933363
608,22494.60046,UAH,a,0.001410033104318
608,338.06856,UAH,d,0.000021191212619
608,401339.8092,UAH,e,0.025157255764610
608,162841.8032,UAH,b,0.010207442165724
608,7132899.694,UAH,c,0.447112840070617
608,104510.9118,USD,a,0.006551076364414
608,14945.32862,USD,b,0.000936820733784
608,7289704.953,USD,c,0.456941892484605
609,395.58745,EUR,a,0.000024796679592
609,1064.0731,EUR,b,0.000066699486354
609,822707.964,EUR,c,0.051569951933363
609,22494.60046,UAH,a,0.001410033104318
609,338.06856,UAH,d,0.000021191212619
609,401339.8092,UAH,e,0.025157255764610
609,162841.8032,UAH,b,0.010207442165724
609,7132899.694,UAH,c,0.447112840070617
609,104510.9118,USD,a,0.006551076364414
609,14945.32862,USD,b,0.000936820733784
609,7289704.953,USD,c,0.456941892484605
610,392.88798,EUR,a,0.000024724015799
610,1056.81192,EUR,b,0.000066504031522
610,819912.9925,EUR,c,0.051596238143460
610,22494.60046,UAH,a,0.001415560886242
610,321.43283,UAH,d,0.000020227420465
610,395793.9087,UAH,e,0.024906882752658
610,163091.2192,UAH,b,0.010263154093336
610,7131194.384,UAH,c,0.448758352482316
610,103733.2824,USD,a,0.006527823305222
610,14834.12562,USD,b,0.000933495486911
610,7238119.547,USD,c,0.455487037382070
611,390.59544,EUR,a,0.000024685371345
611,1050.64532,EUR,b,0.000066400083615
611,815193.9786,EUR,c,0.051519715846631
611,22494.60046,UAH,a,0.001421643748840
611,372.24314,UAH,d,0.000023525518222
611,380864.4159,UAH,e,0.024070377109125
611,163177.6333,UAH,b,0.010312717614202
611,7144862.712,UAH,c,0.451550558969795
611,102846.0985,USD,a,0.006499804843614
611,14711.02777,USD,b,0.000929727145206
611,7176987.811,USD,c,0.453580843749406
612,390.12368,EUR,a,0.000024671712576
612,1049.37632,EUR,b,0.000066363341366
612,812736.8651,EUR,c,0.051398085693799
612,22494.60046,UAH,a,0.001422575315240
612,399.17498,UAH,d,0.000025244123541
612,401384.7368,UAH,e,0.025383870210520
612,162950.6267,UAH,b,0.010305119204102
612,7133716.161,UAH,c,0.451141532138447
612,102549.4652,USD,a,0.006485304689046
612,14668.59756,USD,b,0.000927653053236
612,7160250.452,USD,c,0.452819580518126
613,391.75454,EUR,a,0.000024734912817
613,1053.76313,EUR,b,0.000066533342920
613,814422.277,EUR,c,0.051421647896312
613,22494.60046,UAH,a,0.001420282152255
613,385.40374,UAH,d,0.000024333930905
613,388384.2352,UAH,e,0.024522115805836
613,162907.6495,UAH,b,0.010285794025716
613,7137396.816,UAH,c,0.450646693161446
613,102950.8786,USD,a,0.006500195267883
613,14726.01542,USD,b,0.000929782990014
613,7193007.521,USD,c,0.454157886513897
